GlycanID,GlyTouCanID,RawText,IUPACcondensed,WURCS
CFG_V5.1_430,G50318MT,Fuca1-3GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4Glc-Sp21,Fuc(a1-3)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc(?1-,"WURCS=2.0/4,6,5/[a2122h-1x_1-5][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a1221m-1a_1-5]/1-2-3-2-3-4/a4-b1_b3-c1_b6-e1_c4-d1_e3-f1"
CFG_V5.1_431,G76241TN,GlcNAcb1-2Mana1-6(GlcNAcb1-4)(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/4,8,7/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-2-2-4-2/a4-b1_b4-c1_c3-d1_c4-f1_c6-g1_d2-e1_g2-h1"
CFG_V5.1_432,G45256SO,GlcNAcb1-2Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/4,9,8/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-2-2-2-4-2/a4-b1_b4-c1_c3-d1_c4-g1_c6-h1_d2-e1_d4-f1_h2-i1"
CFG_V5.1_433,G40735XY,GlcNAcb1-6(GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,GlcNAc(b1-6)[GlcNAc(b1-2)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/4,9,8/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-2-2-4-2-2/a4-b1_b4-c1_c3-d1_c4-f1_c6-g1_d2-e1_g2-h1_g6-i1"
CFG_V5.1_434,G25787HL,GlcNAcb1-6(GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,GlcNAc(b1-6)[GlcNAc(b1-2)]Man(a1-6)[GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/4,10,9/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-2-2-2-4-2-2/a4-b1_b4-c1_c3-d1_c4-g1_c6-h1_d2-e1_d4-f1_h2-i1_h6-j1"
CFG_V5.1_435,G86522OD,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/5,10,9/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-2-4-2-5/a4-b1_b4-c1_c3-d1_c4-g1_c6-h1_d2-e1_e4-f1_h2-i1_i4-j1"
CFG_V5.1_436,G28659UB,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-4(Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,Gal(b1-4)GlcNAc(b1-4)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/5,12,11/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-2-5-2-4-2-5/a4-b1_b4-c1_c3-d1_c4-i1_c6-j1_d2-e1_d4-g1_e4-f1_g4-h1_j2-k1_k4-l1"
CFG_V5.1_437,G17807LO,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/5,12,11/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-2-4-2-5-2-5/a4-b1_b4-c1_c3-d1_c4-g1_c6-h1_d2-e1_e4-f1_h2-i1_h6-k1_i4-j1_k4-l1"
CFG_V5.1_438,G96852SM,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-4(Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-4)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc(?1-,"WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-2-5-2-4-2-5-2-5/a4-b1_b4-c1_c3-d1_c4-i1_c6-j1_d2-e1_d4-g1_e4-f1_g4-h1_j2-k1_j6-m1_k4-l1_m4-n1"
CFG_V5.1_439,G08806VI,Galb1-4Galb-Sp10,Gal(b1-4)Gal(b1-,"WURCS=2.0/1,2,1/[a2112h-1b_1-5]/1-1/a4-b1"
CFG_V5.1_44,G97249VB,(6S)Galb1-4GlcNAcb-Sp8,[6S]Gal(b1-4)GlcNAc(b1-,"WURCS=2.0/2,2,1/[a2122h-1b_1-5_2*NCC/3=O][a2112h-1b_1-5_6*OSO/3=O/3=O]/1-2/a4-b1"
CFG_V5.1_440,G08539FO,Galb1-6Galb-Sp10,Gal(b1-6)Gal(b1-,"WURCS=2.0/1,2,1/[a2112h-1b_1-5]/1-1/a6-b1"
CFG_V5.1_441,G69440RD,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb-Sp8,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-,"WURCS=2.0/3,4,3/[a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-1-3/a3-b1_b4-c1_c3-d2"
CFG_V5.1_442,G91982VB,GalNAcb1-6GalNAcb-Sp8,GalNAc(b1-6)GalNAc(b1-,"WURCS=2.0/1,2,1/[a2112h-1b_1-5_2*NCC/3=O]/1-1/a6-b1"
CFG_V5.1_443,G12103ES,(6S)Galb1-3GlcNAcb-Sp0,[6S]Gal(b1-3)GlcNAc(b1-,"WURCS=2.0/2,2,1/[a2122h-1b_1-5_2*NCC/3=O][a2112h-1b_1-5_6*OSO/3=O/3=O]/1-2/a3-b1"
CFG_V5.1_444,,(6S)Galb1-3(6S)GlcNAc-Sp0,[6S]Gal(b1-3)[6S]GlcNAc(?1-,
